content_id,flagged,model_response,model,date
36e0dd416632,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
400172a828a4,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
6998e1cd99f1,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
c3770795de53,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
1ce391b5b22e,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
25a3883ffafb,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
fa6175b5e96d,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
dbca42d4cc20,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
30c0e8f09f91,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
2d18d62e04b5,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
5e7429c09131,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
1d1fe0139167,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
aec1737e9f36,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
0d97bda1b826,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
5fd43976369c,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
b96b0f0631b5,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
38d8e1e5f31c,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
89c2c6af91e6,1,"Error code: 400 - {'error': {'message': 'Content Exists Risk', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",deepseek-chat,2025-07-14
