category,subcategory,source,content,token_length,revision_id,permanent_link,content_id
Household Finances & Social Safety Nets,Middle Class,Middle classes,"Middle classes or Middle Classes may refer to:

The middle class, a social class
Middle Classes: Their Rise and Sprawl, a 2001 BBC television documentary series",26,1119599867,https://en.wikipedia.org/w/index.php?title=Middle_classes&oldid=1119599867,aa9ea3913ab5
Household Finances & Social Safety Nets,Retirement,Corner retirement,"A corner retirement (also known as a corner stoppage) is a term in boxing used to describe a fight ending when a boxer refuses to continue or their corner team pulls them out during the rest period between rounds. This results in the referee stopping the fight, and it is officially recorded as ""RTD"" (Retired) in boxing records, including those maintained by BoxRec. In contrast, a technical knockout (TKO) may only be declared by the referee or ringside doctor, at any stage of the fight including rest periods. In either case, an RTD still counts as a type of knockout, and is displayed as a stoppage result on a boxer's win/loss record.
One of the most famous RTD (corner retirement) stoppages in boxing history occurred on February 25, 1964, during the first fight of Muhammad Ali vs. Sonny Liston. After six competitive rounds, Sonny Liston, complaining of a shoulder injury, refused to get up from his stool for the seventh round. As a result, Ali was declared the winner by RTD and became the world heavyweight champion.


== References ==",180,1275555959,https://en.wikipedia.org/w/index.php?title=Corner_retirement&oldid=1275555959,d5941a422941
Household Finances & Social Safety Nets,Retirement,Application retirement,"Application retirement, also called application decommissioning and application sunsetting, is the practice of shutting down redundant or obsolete business applications while retaining access to the historical data. Legacy applications are often maintained solely to provide infrequent or sporadic access to data within the application database for regulatory or business purposes.  With some organizations spending upwards of 75% of their application software budgets on ongoing maintenance, application retirement can deliver significant cost savings. 
The act of application retirement usually involves migrating data from the legacy application database to another data repository or archive store that can be accessed independently using industry standard reporting or business intelligence tools.  Application retirement allows IT departments within companies to reduce the software, hardware and resources required to manage legacy data.

See also
End-of-life (product)
Software release life cycle


== References ==",136,1015057803,https://en.wikipedia.org/w/index.php?title=Application_retirement&oldid=1015057803,11c3ede7635d
Household Finances & Social Safety Nets,Homeownership and Renting,Homeownership in Germany,"Home ownership in Germany is lower overall than in most other European countries. In 2022, Germany's homeownership rate was 46.7%. During World War II, 2.25 million homes were destroyed with another two million damaged, reducing overall housing stocks by 20%. In 1949, West Germany enacted its first housing law and by 1961 had reduced its housing shortage from 5.5 million units to only 658,000. The mortgage market remained weak with banks requiring large downpayments from borrowers.
Germany has comparatively low rental prices and a high proportion of rent controlled units. The German government does not deduct mortgage interest payments from taxes. In the 2000s, Germany reduced government subsidies for homeownership.


== References ==",113,1291952937,https://en.wikipedia.org/w/index.php?title=Homeownership_in_Germany&oldid=1291952937,670392f53283
"Technology Policy, Industry & Global Trends",Technology Policy Issues,Technology Administration,"The Technology Administration (TA) was an agency in the United States Department of Commerce that worked with United States industries to promote economic competitiveness. The TA used the web domain technology.gov. The TA was most recently led by former Under Secretary of Commerce for Technology Robert Cresanti.
The TA oversaw three agencies:

National Institute of Standards and Technology (NIST)
National Technical Information Service (NTIS)
Office of Technology Policy (OTP)

History
The Technology Administration was created by the Stevenson-Wydler Technology Innovation Act of 1980, 15 U.S.C. 3704.
The TA was abolished by the America COMPETES Act of 2007. NIST and NTIS continue on as agencies. The Office of Technology Policy was abolished.

Office of Technology Policy
The Office of Technology Policy (OTP) was an office of the Technology Administration. The office worked with industry to promote competitiveness and advocated integrated policies for maximizing the impact of technology on economic growth. The OTP's stated goals included the creation of high-wage jobs and improvements in the United States' quality of life.

See also
Title 15 of the Code of Federal Regulations


== References ==",181,1293725411,https://en.wikipedia.org/w/index.php?title=Technology_Administration&oldid=1293725411,9548ad900927
"Technology Policy, Industry & Global Trends",Tech Companies,Lumen (tech company),"Lumen (tech company) may refer to:

Lumen Technologies, an American telecommunications company
Lumen, the manufacturer of Lumen metabolism tracker
Lumen (website), a site that helps recipients of cease-and-desist notices get legal advice",32,1293446410,https://en.wikipedia.org/w/index.php?title=Lumen_%28tech_company%29&oldid=1293446410,50364f177b98
"Technology Policy, Industry & Global Trends",Tech Companies,B.TECH (company),"B.TECH is an Egyptian omnichannel retailer and consumer finance platform.

History
Prior to its renaming in 2003, B.TECH was known as Olympic Stores. It operates over 88 branches spread across 25 governorates in Egypt, with more than 600 dealers and distributors.

Brands
B.TECH is an authorized seller of Braun, Ariston, Miele, Apple.

Partnerships
In 2016, Development Partners International (DPI), a UK private equity group acquired 33.3% of B.Tech. for $35 million. The strategic partnership enabled the enhancement of supply chain and IT infrastructure and a number of new products were introduced.
The online payment operations of B.Tech. are facilitated by Fawry Banking & Payment Technology Services Ltd. Apart from bank mobile wallets and credit cards, FawryPay provides customers with direct debit or automatic debit of installment amounts from their debit and credit cards.

Expansion
During a 2015 press conference, the company's Chairman Mahmoud Khattab announced that they have increased their total sales area by 8,000 m2 (86,000 sq ft) and provided 300 new job opportunities.
B.TECH opened 17 new branches in 2019 with the intention of covering all governorates in Egypt.  It runs 75 authorized service centers across Egypt. B.Tech. Academy was set up to offer certified programs for employee skill development.
B.TECH launched its technological school in 2020. 


== References ==",212,1273690869,https://en.wikipedia.org/w/index.php?title=B.TECH_%28company%29&oldid=1273690869,ae8bf04c5888
"Technology Policy, Industry & Global Trends",Internet and Technology,Internet services technology,"Internet services technology is a broad field of study usually resulting in receiving an Associate of Applied Science Degree. 
This two-year degree, often awarded at community colleges, is a gateway to more specialized studies, but can also be applied to immediate workforce demands.

Areas of Study
Students learn languages such as HTML, C++, ActionScript, and JavaScript. 
This program of study also encompasses business courses, with an emphasis on e-commerce and macroeconomics.
Internet services technology covers a broad range of technologies used for web development, web production, design, networking, and e-commerce. 

This field also covers website maintenance, database management, and graphic design.


== References ==",104,1283614147,https://en.wikipedia.org/w/index.php?title=Internet_services_technology&oldid=1283614147,0781ed8b9e00
Internet Infrastructure & Connectivity,Broadband,Broadbanding,"Broadbanding is used by Payroll Departments in Human resource management.

Broadbanding defined
Broadbanding is a job grading structure that falls between using spot salaries vs. many job grades to determine what to pay particular positions and incumbents within those positions. While broadbanding gives the organization using it some broad job classifications, it does not have as many distinct job grades as traditional salary structures do. Thus, broadbanding reduces the emphasis on 'status' or hierarchy and places more of an emphasis on lateral job movement within the company. In a broadbanding structure an employee can be more easily rewarded for lateral movement or skills development, whereas in traditional multiple grade salary structures pay progression happens primarily via job promotion. In this way, broadbanding is a more flexible pay system. This flexibility, however, can lead to internal pay relativity problems as there is not as much control over salary progression as there would be within a traditional multi-level grading job (structure).

References
External links
industry definition of Broadbanding",166,1182267196,https://en.wikipedia.org/w/index.php?title=Broadbanding&oldid=1182267196,a445e6a833cd
Internet Infrastructure & Connectivity,Internet Connectivity,Connectivity,"Connectivity may refer to:

Computing and technology
Connectivity (media), the ability of the social media to accumulate economic capital from the users connections and activities
Internet connectivity, the means by which individual terminals, computers, mobile devices, and local area networks connect to the global Internet
Pixel connectivity, the way in which pixels in 2-dimensional images relate to their neighbors.

Mathematics
Connectivity (graph theory), a property of a graph.
The property of being a connected space in topology.
Homotopical connectivity, a property related to the dimensions of holes in a topological space, and to its homotopy groups.
Homological connectivity, a property related to the homology groups of a topological space.

Biology
Neurobiology
Homotopic connectivity - connectivity between mirror areas of the human brain hemispheres.
Brain connectivity
Functional connectivity
Dynamic functional connectivity

Ecology
Landscape connectivity, the degree to which the landscape facilitates or impedes movement among resource patches.
Permeability (spatial and transport planning), the extent to which urban forms permit (or restrict) movement of people or vehicles in different directions.

Physics
Connectivity, a parameter describing the topology of a porous medium.

See also
Connection (disambiguation)
Prayer, connection to the Divine.",188,1135261240,https://en.wikipedia.org/w/index.php?title=Connectivity&oldid=1135261240,de525b4ef5fa
Internet Infrastructure & Connectivity,Smartphones,List of smartphones,"List of smartphones may refer to:

Comparison of smartphones
List of Android smartphones
Acer smartphones
Comparison of bq smartphones
Comparison of Google Nexus smartphones
Comparison of Google Pixel smartphones
Comparison of Samsung Galaxy S smartphones",35,1157376120,https://en.wikipedia.org/w/index.php?title=List_of_smartphones&oldid=1157376120,ce65876318ee
Internet Infrastructure & Connectivity,Smartphones,List of Android smartphones,"This is a list of devices that run on Android, an open source operating system for smartphones and other devices.

A
B
C
D
E
F
G
H
I
J
K
L
M
N
O
P
Q
R
S
T
U
V
W
X
Y
Z
See also

List of Android TV devices


== References ==",56,1294460384,https://en.wikipedia.org/w/index.php?title=List_of_Android_smartphones&oldid=1294460384,9b95ac23ee32
Macroeconomic Policy & Systems,Economic Policy,Institute on Taxation and Economic Policy,"The Institute on Taxation and Economic Policy (ITEP) is a non-profit, left-leaning think tank that works on state and federal tax policy issues. ITEP was founded in 1980, and is a 501(c)(3) tax-exempt organization.

Credibility across political spectrum
ITEP's quantitative analyses are utilized by observers from across the political spectrum and by analysts within government.
ITEP has been characterized as nonpartisan and left-leaning.
They are associated with the liberal lobbying organization Citizens for Tax Justice.

See also
Center for American Progress
Center on Budget and Policy Priorities
Economic Policy Institute
Tax Foundation
Tax Policy Center

References
External links
Official website
""Who Pays"" report
""Offshore Shell Games"" (2017)",107,1292975838,https://en.wikipedia.org/w/index.php?title=Institute_on_Taxation_and_Economic_Policy&oldid=1292975838,d9d588237c26
Macroeconomic Policy & Systems,Recessions and Recoveries,List of recessions in the United Kingdom,"This is a list of recessions (and depressions) that have affected the economy of the United Kingdom and its predecessor states. In the United Kingdom a recession is generally defined as two successive quarters of negative economic growth, as measured by the seasonally adjusted quarter-on-quarter figures for real GDP.

See also
List of recessions in Canada
List of recessions in the United States
Stock market crashes in India
List of stock market crashes and bear markets
Office for National Statistics

References
External links

Office for National Statistics website
ONS quarterly GDP growth
UK National Income, Expenditure and Output
Latest Bank of England inflation report (PDF sections)  Archived 21 February 2009 at the Wayback Machine
Bank of England February 2009 Quarterly inflation report  Archived 15 November 2009 at the Wayback Machine – Much data, including (on p20) previous 3 UK recessions.
""What is the difference between a recession and a depression?"" Saul Eslake November 2008
UK economy tracker  BBC News – comparison of UK recessions – updated quarterly",167,1292701492,https://en.wikipedia.org/w/index.php?title=List_of_recessions_in_the_United_Kingdom&oldid=1292701492,8a52de538879
Macroeconomic Policy & Systems,Recessions and Recoveries,Rolling recession,"A rolling recession, or rolling adjustment recession, occurs when the recession only affects certain sectors of the economy at a time. As one sector enters recovery, the slowdown will ‘roll’ into another part of the economy. On the whole, rolling recessions occur regardless of nationwide or statewide economic recession, and the effects may not be in the national economic measures (e.g., gross domestic product (GDP)). The recession of 1960–61 in the United States is an example of a rolling-adjustment recession.

See also
Recession shapes
List of recessions in the United States
List of recessions in the United Kingdom


== References ==",101,1162247426,https://en.wikipedia.org/w/index.php?title=Rolling_recession&oldid=1162247426,9d4f74aaae38
Macroeconomic Policy & Systems,Recessions and Recoveries,List of recessions in Canada,"Although Canada's economy is closely linked to the United States' economy, Canadian and American recessions do not always coincide.  A recession is generally defined as two successive quarters of negative economic growth.

See also
Economic history of Canada
List of recessions in the United Kingdom
List of recessions in the United States


== References ==",55,1292069638,https://en.wikipedia.org/w/index.php?title=List_of_recessions_in_Canada&oldid=1292069638,e05c1818d84e
Macroeconomic Policy & Systems,Taxes,E-taxes,"E-taxes can refer to:

The taxes imposed on goods and services traded online; see e-commerce
The taxes imposed on information technology products (""digital"" goods and services)

See also
EGovernment
ECommerce",30,614978188,https://en.wikipedia.org/w/index.php?title=E-taxes&oldid=614978188,d0792c030139
Criminal Justice and Law Enforcement,Death Penalty,Death Penalty (album),"Death Penalty is the debut studio album by British heavy metal band Witchfinder General. It was released in 1982 on Heavy Metal Records. The album received some criticism for the cover photograph, which featured topless model Joanne Latham. The photograph had been taken in the yard of St Mary the Blessed Virgin Church in Enville, Staffordshire, without the permission of the local Reverend. The album was originally released on LP and picture disc and was later reissued on CD. Pictured on the cover is Phil Cope, Zeeb Parkes, Graham Ditchfield and a member of their road crew. While Peter Hinton is credited with producing this recording, the writers Phil Cope and Zeeb Parkes always felt the credit should have gone to the engineer Robin George.

Track listing
All tracks by Zeeb Parkes and Phil Cope.
Side one

""Invisible Hate"" – 6:05
""Free Country"" – 3:10
""Death Penalty"" – 5:35
Side two

""No Stayer"" – 4:25
""Witchfinder General"" – 3:51
""Burning a Sinner"" – 3:28
""R.I.P."" – 4:04

Personnel
Witchfinder General
Zeeb Parkes – vocals
Phil Cope – guitars, bass (bass credited as Woolfy Trope)
Graham Ditchfield  – drums

Production
Pete Hinton – producer
Robin George – engineer
Tim Young – mastering at C.B.S. Studios
Joanne Latham – cover model


== References ==",212,1279009810,https://en.wikipedia.org/w/index.php?title=Death_Penalty_%28album%29&oldid=1279009810,9afbaa67e98e
Criminal Justice and Law Enforcement,Criminal Justice,Consensus model (criminal justice),"The Consensus Model or Systems Perspective of criminal justice argues that the organizations of a criminal justice system either do, or should, work cooperatively to produce justice, as opposed to competitively.
A criminal justice model in which the majority of citizens in a society share the same values and beliefs. Criminal acts conflict with these values and beliefs.

See also
Conflict Model


== References ==",65,1266490477,https://en.wikipedia.org/w/index.php?title=Consensus_model_%28criminal_justice%29&oldid=1266490477,f5dac79946b3
Criminal Justice and Law Enforcement,Police,Indian Police,"Indian Police may refer to:

India
Law enforcement in India
Indian Police Service, which provides leaders and commanders to staff the federal Central Armed Police Forces, and state and other security agencies of India, its members are the senior officers of the police force of India

Canada
First Nations Policing Program (FNPP), administered by Public Safety Canada
First Nations Community Policing Service of the Royal Canadian Mounted Police
Indigenous police in Canada

United States
Bureau of Indian Affairs Police
United States Indian Police
Indian agency police
Indian tribal police

See also
Indian Police Force (web series), an Indian cop drama",100,1232491316,https://en.wikipedia.org/w/index.php?title=Indian_Police&oldid=1232491316,8bf2f35f9889
Criminal Justice and Law Enforcement,Border Security and Enforcement,United States House Homeland Security Subcommittee on Border Security and Enforcement,"The Homeland Security Subcommittee on Border Security and Enforcement is a subcommittee within the House Homeland Security Committee. The Subcommittee focuses on: border and port security in the northern and southern land, air, and maritime domains; international aspects of border security; DHS policies and operations facilitating lawful trade and travel; CBP staffing and resource allocations at and between air, land, and sea ports of entry; and ICE and USCIS border security activities.
Subcommittee maintains oversight of U.S. Customs and Border Protection (CBP), Immigration and Customs Enforcement (ICE), and U.S. Citizenship and Immigration Services (USCIS).
Between 2019 and 2023, it was known as Homeland Security Subcommittee on Border Security, Facilitation and Operations.

Members, 119th Congress
Historical membership rosters
115th Congress
116th Congress
117th Congress
118th Congress
References
External links
Official Site",130,1278790612,https://en.wikipedia.org/w/index.php?title=United_States_House_Homeland_Security_Subcommittee_on_Border_Security_and_Enforcement&oldid=1278790612,923b7c11faf3
Criminal Justice and Law Enforcement,Border Security and Enforcement,Border Security,"Border Security may refer to:

Border security, measures taken by governments to enforce their border control policies
Border Security: Australia's Front Line, Australian television show
Border Security: Canada's Front Line, Canadian television show
Border Security Force, Indian border guard for the borders with Bangladesh and Pakistan
Border Security Force (football team)
Border Security Force (Water Wing)
Border Security Force Camel Band
United States Border Patrol, an American federal law enforcement agency

See also
Border Guard (disambiguation)
Border Patrol (disambiguation)",79,1275548357,https://en.wikipedia.org/w/index.php?title=Border_Security&oldid=1275548357,db66edaeb63f
Social Impact of Technology,Online Services,Comparison of online dating services,"This is a partial, non-exhaustive list of notable online dating websites and mobile apps.

Online dating services
Defunct sites
SpeedDate.com
Yahoo! Personals
Spoonr
Spray Date
Tastebuds.fm
Travel Companion Exchange
True
Matchmaker.com (Dating service founded in 1986 which had 259,771 users)
Craigslist (personal ads were removed)
Find Your FaceMate

See also
Timeline of online dating services


== References ==",58,1289790194,https://en.wikipedia.org/w/index.php?title=Comparison_of_online_dating_services&oldid=1289790194,02cc50d8ca70
